,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0814,0.05976,0.0532,0.06271,0.08139,0.06698,0.07177,0.07176,0.0532,0.06271,0.06683,0.07177,0.06683,0.06271,0.06698
1,0.06015,0.07382,0.06015,0.06483,0.06484,0.07751,0.07382,0.07845,0.06015,0.06015,0.06483,0.06772,0.06015,0.06484,0.06858
2,0.06172,0.06172,0.06889,0.06172,0.06783,0.07711,0.06783,0.06172,0.07121,0.07121,0.06172,0.06172,0.0689,0.0689,0.06783
3,0.0623,0.0623,0.0623,0.06835,0.07516,0.0623,0.08307,0.0623,0.06687,0.06687,0.06835,0.0623,0.06687,0.06835,0.0623
4,0.06195,0.06195,0.06195,0.07008,0.06195,0.06616,0.06533,0.06195,0.06534,0.07766,0.07766,0.06195,0.08217,0.06195,0.06195
5,0.06244,0.06243,0.06244,0.06243,0.06243,0.06706,0.07802,0.06243,0.06243,0.07802,0.06503,0.06503,0.06244,0.06503,0.08232
6,0.06418,0.06417,0.06418,0.06417,0.06752,0.06417,0.06417,0.06921,0.06417,0.06921,0.06417,0.06921,0.06417,0.07977,0.06752
7,0.06486,0.06486,0.06486,0.06486,0.06486,0.06486,0.06485,0.06755,0.07121,0.07121,0.06755,0.06486,0.07121,0.06486,0.06755
8,0.06363,0.06362,0.06362,0.06362,0.06362,0.07583,0.06361,0.06714,0.06714,0.07246,0.06714,0.06362,0.06885,0.06362,0.07246
9,0.06417,0.06417,0.06417,0.06417,0.06417,0.06706,0.06416,0.06706,0.06706,0.07537,0.06417,0.07153,0.06706,0.06417,0.07153
10,0.06633,0.06633,0.06632,0.06632,0.06465,0.06633,0.06632,0.0699,0.06465,0.07627,0.06633,0.06465,0.06465,0.06465,0.06632
11,0.06523,0.06506,0.06523,0.06505,0.06523,0.07305,0.06523,0.06506,0.06505,0.06523,0.06523,0.07201,0.06523,0.06506,0.07305
12,0.06479,0.06479,0.06519,0.06479,0.06479,0.06519,0.06519,0.06479,0.07231,0.06519,0.06519,0.06732,0.07231,0.07336,0.06479
