,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,000890.SZ,000862.SZ,000638.SZ,000793.SZ,000001.SZ,000631.SZ,000722.SZ,000552.SZ,000503.SZ,000581.SZ,000937.SZ,000002.SZ,000731.SZ,000786.SZ,000551.SZ
1,000958.SZ,000712.SZ,000049.SZ,000553.SZ,000801.SZ,000715.SZ,000797.SZ,000890.SZ,000790.SZ,000971.SZ,000598.SZ,000731.SZ,000605.SZ,000793.SZ,000676.SZ
2,000813.SZ,000958.SZ,000553.SZ,000049.SZ,000801.SZ,000800.SZ,000899.SZ,000848.SZ,000712.SZ,000810.SZ,000056.SZ,000790.SZ,000997.SZ,000732.SZ,000625.SZ
3,000813.SZ,000688.SZ,000820.SZ,000712.SZ,000800.SZ,000050.SZ,000584.SZ,000056.SZ,000793.SZ,000997.SZ,000553.SZ,000049.SZ,000977.SZ,000801.SZ,000790.SZ
4,000813.SZ,000688.SZ,000820.SZ,000584.SZ,000049.SZ,000712.SZ,000997.SZ,000056.SZ,000793.SZ,000800.SZ,000715.SZ,000848.SZ,000063.SZ,000790.SZ,000536.SZ
5,000813.SZ,000688.SZ,000820.SZ,000793.SZ,000545.SZ,000712.SZ,000584.SZ,000156.SZ,000049.SZ,000063.SZ,000606.SZ,000553.SZ,000056.SZ,000997.SZ,000715.SZ
6,000813.SZ,000688.SZ,000820.SZ,000555.SZ,000938.SZ,000793.SZ,000977.SZ,000428.SZ,000049.SZ,000712.SZ,000681.SZ,000829.SZ,000156.SZ,000063.SZ,000545.SZ
7,000813.SZ,000688.SZ,000555.SZ,000820.SZ,000977.SZ,000681.SZ,000526.SZ,000938.SZ,000829.SZ,000428.SZ,000793.SZ,000156.SZ,000712.SZ,000532.SZ,000553.SZ
8,000813.SZ,000688.SZ,000820.SZ,000555.SZ,000977.SZ,000333.SZ,000526.SZ,000938.SZ,000062.SZ,000715.SZ,000793.SZ,000681.SZ,000712.SZ,000532.SZ,000829.SZ
9,000813.SZ,000688.SZ,000555.SZ,000977.SZ,000820.SZ,000938.SZ,000526.SZ,000897.SZ,000062.SZ,000715.SZ,000681.SZ,000712.SZ,000793.SZ,000503.SZ,000553.SZ
10,000813.SZ,000688.SZ,000555.SZ,000977.SZ,000938.SZ,000820.SZ,000526.SZ,000712.SZ,000897.SZ,000715.SZ,000049.SZ,000062.SZ,000553.SZ,000793.SZ,000681.SZ
11,000813.SZ,000688.SZ,000555.SZ,000938.SZ,000681.SZ,000851.SZ,000977.SZ,000712.SZ,000062.SZ,000526.SZ,000793.SZ,000829.SZ,000820.SZ,000553.SZ,000413.SZ
12,000813.SZ,000681.SZ,000688.SZ,000555.SZ,000977.SZ,000712.SZ,000938.SZ,000997.SZ,000906.SZ,000559.SZ,000897.SZ,000829.SZ,000957.SZ,000851.SZ,000526.SZ
13,000813.SZ,000688.SZ,000681.SZ,000977.SZ,000555.SZ,000906.SZ,000712.SZ,000897.SZ,000062.SZ,000958.SZ,000938.SZ,000793.SZ,000559.SZ,000673.SZ,000957.SZ
14,000813.SZ,000688.SZ,000681.SZ,000977.SZ,000906.SZ,000555.SZ,000712.SZ,000673.SZ,000062.SZ,000793.SZ,000553.SZ,000413.SZ,000897.SZ,000801.SZ,000559.SZ
15,000813.SZ,000681.SZ,000688.SZ,000906.SZ,000977.SZ,000062.SZ,000555.SZ,000673.SZ,000938.SZ,000829.SZ,000957.SZ,000559.SZ,000553.SZ,000793.SZ,000670.SZ
16,000813.SZ,000681.SZ,000688.SZ,000906.SZ,000062.SZ,000555.SZ,000977.SZ,000938.SZ,000673.SZ,000559.SZ,000957.SZ,000829.SZ,000670.SZ,000526.SZ,000897.SZ
17,000813.SZ,000688.SZ,000555.SZ,000681.SZ,000559.SZ,000906.SZ,000977.SZ,000062.SZ,000592.SZ,000938.SZ,000673.SZ,000901.SZ,000957.SZ,000958.SZ,000733.SZ
18,000813.SZ,000555.SZ,000681.SZ,000688.SZ,000958.SZ,000906.SZ,000559.SZ,000050.SZ,000977.SZ,000062.SZ,000673.SZ,000938.SZ,000751.SZ,000801.SZ,000810.SZ
19,000813.SZ,000555.SZ,000681.SZ,000958.SZ,000688.SZ,000906.SZ,000547.SZ,000938.SZ,000559.SZ,000673.SZ,000977.SZ,000997.SZ,000062.SZ,000801.SZ,000802.SZ
20,000813.SZ,000547.SZ,000958.SZ,000555.SZ,000688.SZ,000681.SZ,000592.SZ,000906.SZ,000559.SZ,000673.SZ,000997.SZ,000938.SZ,000977.SZ,000062.SZ,000901.SZ
21,000813.SZ,000555.SZ,000958.SZ,000681.SZ,000547.SZ,000688.SZ,000592.SZ,000906.SZ,000997.SZ,000559.SZ,000712.SZ,000158.SZ,000673.SZ,000062.SZ,000150.SZ
22,000813.SZ,000555.SZ,000547.SZ,000958.SZ,000688.SZ,000150.SZ,000592.SZ,000681.SZ,000906.SZ,000712.SZ,000997.SZ,000901.SZ,000897.SZ,000516.SZ,000977.SZ
23,000813.SZ,000166.SZ,000555.SZ,000547.SZ,000150.SZ,000958.SZ,000592.SZ,000681.SZ,000712.SZ,000626.SZ,000516.SZ,000688.SZ,000906.SZ,000997.SZ,000977.SZ
24,000813.SZ,000555.SZ,000150.SZ,000547.SZ,000626.SZ,000681.SZ,000958.SZ,000997.SZ,000712.SZ,000592.SZ,000062.SZ,000516.SZ,000158.SZ,000977.SZ,000688.SZ
25,000813.SZ,000150.SZ,000555.SZ,000626.SZ,000681.SZ,000547.SZ,000958.SZ,000540.SZ,000066.SZ,000592.SZ,000516.SZ,000062.SZ,000712.SZ,000158.SZ,000829.SZ
26,000813.SZ,000150.SZ,000626.SZ,000555.SZ,000516.SZ,000958.SZ,000681.SZ,000547.SZ,000948.SZ,000806.SZ,000906.SZ,000712.SZ,000066.SZ,000158.SZ,000592.SZ
27,000813.SZ,000626.SZ,000555.SZ,000150.SZ,000958.SZ,000681.SZ,000158.SZ,000062.SZ,000547.SZ,000815.SZ,000516.SZ,000782.SZ,000066.SZ,000948.SZ,000016.SZ
28,000813.SZ,000626.SZ,000150.SZ,000062.SZ,000555.SZ,000958.SZ,000016.SZ,000938.SZ,000547.SZ,000558.SZ,000806.SZ,000782.SZ,000720.SZ,000066.SZ,000681.SZ
29,000813.SZ,000150.SZ,000958.SZ,000016.SZ,000547.SZ,000062.SZ,000626.SZ,000555.SZ,000806.SZ,000782.SZ,000688.SZ,000720.SZ,000066.SZ,000938.SZ,000923.SZ
30,000813.SZ,000150.SZ,000958.SZ,000016.SZ,000688.SZ,000626.SZ,000806.SZ,000782.SZ,000720.SZ,000066.SZ,000062.SZ,000547.SZ,000938.SZ,000558.SZ,000555.SZ
31,000813.SZ,000150.SZ,000025.SZ,000958.SZ,000688.SZ,000626.SZ,000806.SZ,000938.SZ,000066.SZ,000062.SZ,000559.SZ,000901.SZ,000796.SZ,000681.SZ,000971.SZ
32,000813.SZ,000025.SZ,000938.SZ,000062.SZ,000958.SZ,000676.SZ,000688.SZ,000150.SZ,000626.SZ,000806.SZ,000547.SZ,000066.SZ,000526.SZ,000559.SZ,000555.SZ
33,000813.SZ,000025.SZ,000676.SZ,000938.SZ,000526.SZ,000958.SZ,000062.SZ,000806.SZ,000688.SZ,000150.SZ,000547.SZ,000626.SZ,000681.SZ,000066.SZ,000948.SZ
34,000813.SZ,000520.SZ,000025.SZ,000938.SZ,000676.SZ,000958.SZ,000150.SZ,000806.SZ,000062.SZ,000558.SZ,000526.SZ,000555.SZ,000626.SZ,000681.SZ,000066.SZ
35,000813.SZ,000520.SZ,000025.SZ,000938.SZ,000838.SZ,000676.SZ,000626.SZ,000066.SZ,000034.SZ,000048.SZ,000038.SZ,000638.SZ,000526.SZ,000796.SZ,000806.SZ
36,000813.SZ,000520.SZ,000025.SZ,000626.SZ,000838.SZ,000676.SZ,000066.SZ,000034.SZ,000938.SZ,000038.SZ,000638.SZ,000796.SZ,000048.SZ,000806.SZ,000526.SZ
37,000813.SZ,000520.SZ,000025.SZ,000626.SZ,000676.SZ,000938.SZ,000526.SZ,000034.SZ,000062.SZ,000038.SZ,000971.SZ,000048.SZ,000638.SZ,000150.SZ,000558.SZ
38,000813.SZ,000520.SZ,000025.SZ,000626.SZ,000938.SZ,000676.SZ,000150.SZ,000048.SZ,000526.SZ,000038.SZ,000638.SZ,000958.SZ,000547.SZ,000796.SZ,000555.SZ
39,000813.SZ,000520.SZ,000025.SZ,000626.SZ,000938.SZ,000048.SZ,000150.SZ,000676.SZ,000038.SZ,000526.SZ,000062.SZ,000638.SZ,000957.SZ,000547.SZ,000555.SZ
40,000813.SZ,000520.SZ,000025.SZ,000626.SZ,000957.SZ,000938.SZ,000150.SZ,000038.SZ,000676.SZ,000062.SZ,000048.SZ,000555.SZ,000526.SZ,000821.SZ,000638.SZ
41,000813.SZ,000520.SZ,000025.SZ,000626.SZ,000938.SZ,000150.SZ,000034.SZ,000555.SZ,000958.SZ,000062.SZ,000048.SZ,000526.SZ,000971.SZ,000676.SZ,000547.SZ
42,000813.SZ,000520.SZ,000025.SZ,000626.SZ,000034.SZ,000938.SZ,000150.SZ,000048.SZ,000555.SZ,000958.SZ,000062.SZ,000676.SZ,000547.SZ,000526.SZ,000971.SZ
43,000813.SZ,000520.SZ,000025.SZ,000626.SZ,000938.SZ,000676.SZ,000034.SZ,000150.SZ,000971.SZ,000048.SZ,000062.SZ,000547.SZ,000958.SZ,000526.SZ,000555.SZ
44,000813.SZ,000520.SZ,000025.SZ,000034.SZ,000626.SZ,000938.SZ,000150.SZ,000676.SZ,000048.SZ,000062.SZ,000567.SZ,000958.SZ,000971.SZ,000547.SZ,000935.SZ
45,000813.SZ,000520.SZ,000025.SZ,000150.SZ,000938.SZ,000062.SZ,000626.SZ,000034.SZ,000048.SZ,000676.SZ,000038.SZ,000958.SZ,000503.SZ,000547.SZ,000505.SZ
