,Naive,GMV,HRP,RP,SZCZ
2013-03-01,0.0015124215437742894,0.0026355499514376657,0.0026355499514376657,0.0021561800898619587,0.0009031953799825132
2013-03-04,-0.05356152726550267,-0.055497707904845206,-0.055497707904845206,-0.05468208273352293,-0.05203421212536252
2013-03-05,-0.03697433557161234,-0.04005099975842241,-0.04005099975842241,-0.03874285641275843,-0.031124307163596043
2013-03-06,-0.04189537590188097,-0.04469748884827052,-0.04469748884827052,-0.043500808641169675,-0.021809044929046117
2013-03-07,-0.039889681656305576,-0.04327683423152462,-0.04327683423152462,-0.041838828957014296,-0.025695665339461216
2013-03-08,-0.047837885475161324,-0.050908676357585,-0.050908676357585,-0.04962200207146272,-0.03688273390409558
2013-03-11,-0.04862378337854678,-0.051314193626516236,-0.051314193626516236,-0.05021759853650676,-0.037782475441546115
2013-03-12,-0.06210538953179934,-0.0635700358596113,-0.0635700358596113,-0.06300530083807421,-0.04955619938545475
2013-03-13,-0.07188763367582518,-0.07401877931023271,-0.07401877931023271,-0.07314358969424584,-0.058934667975531374
2013-03-14,-0.07350391628671493,-0.07494142452566976,-0.07494142452566976,-0.07434604476654172,-0.057479262294499844
2013-03-15,-0.07600368675238722,-0.07851253525581703,-0.07851253525581703,-0.07745848465863225,-0.056231087165391824
2013-03-18,-0.08055575250038904,-0.08160841269768371,-0.08160841269768371,-0.08115344257536183,-0.06663093893020433
2013-03-19,-0.0690884796994512,-0.06874281136623372,-0.06874281136623372,-0.06890105863098195,-0.06299864786732268
2013-03-20,-0.04387600085825871,-0.04316050246543901,-0.04316050246543901,-0.0434701165449195,-0.03354954767887042
2013-03-21,-0.044692331472651614,-0.04366684148849387,-0.04366684148849387,-0.044106191901539415,-0.032686170021051564
2013-03-22,-0.03865243585029998,-0.04041168912077797,-0.04041168912077797,-0.039701500583337324,-0.030910687521583657
2013-03-25,-0.031552935929344716,-0.03443846408518314,-0.03443846408518314,-0.033211568622634524,-0.034051734308651826
2013-03-26,-0.039751198327717785,-0.04216146728425352,-0.04216146728425352,-0.04115261821314198,-0.04302261836424692
2013-03-27,-0.03876756748727239,-0.03978481731697625,-0.03978481731697625,-0.03938042155851573,-0.043179202930933136
2013-03-28,-0.0598945638086299,-0.061553624405224716,-0.061553624405224716,-0.06088340714486973,-0.07075438092180408
2013-03-29,-0.06104969144628347,-0.06331898126925428,-0.06331898126925428,-0.0623849918575371,-0.07796213541023056
2013-04-01,-0.061213267596123444,-0.06340050274541942,-0.06340050274541942,-0.0625050005152421,-0.07298504460253896
2013-04-02,-0.08220466604523613,-0.08507161656397721,-0.08507161656397721,-0.08385690709634552,-0.07063040560713207
2013-04-03,-0.07604385058370933,-0.07964984494083849,-0.07964984494083849,-0.07807280974470665,-0.07021451318115457
2013-04-08,-0.07584122365969026,-0.0791019003314406,-0.0791019003314406,-0.07769881311029936,-0.07131713944463991
2013-04-09,-0.07548787828949999,-0.07874412949591769,-0.07874412949591769,-0.07735122245507176,-0.06724322327313215
2013-04-10,-0.06348458364830412,-0.06679997604398957,-0.06679997604398957,-0.065362880472848,-0.07043937596222072
2013-04-11,-0.07524924925569398,-0.07888117769874192,-0.07888117769874192,-0.0772878903311156,-0.07475262371459113
2013-04-12,-0.08060435044333913,-0.08453809924312039,-0.08453809924312039,-0.08278876770979327,-0.0836273810056607
2013-04-15,-0.0929649276855945,-0.0965236529531549,-0.0965236529531549,-0.09495124496369434,-0.09417623547862786
2013-04-16,-0.0889408032843837,-0.09157170102209133,-0.09157170102209133,-0.09044979441652101,-0.08183580131817536
2013-04-17,-0.07842922404586183,-0.08212537929263852,-0.08212537929263852,-0.0804977785720965,-0.0774850695210273
2013-04-18,-0.0827750602574907,-0.08613344800416523,-0.08613344800416523,-0.08466788559293925,-0.07814395480838932
2013-04-19,-0.06520138412112075,-0.06892267818653852,-0.06892267818653852,-0.06728373832350387,-0.05499699707579875
2013-04-22,-0.07537574450204154,-0.07970371560763778,-0.07970371560763778,-0.077769253214231,-0.06055304731333844
2013-04-23,-0.1042953193228644,-0.1092432237814367,-0.1092432237814367,-0.10700214018633747,-0.08798499974407359
2013-04-24,-0.08915197280287379,-0.09453958317809141,-0.09453958317809141,-0.09208981825635953,-0.07569257710638644
2013-04-25,-0.09912084158981493,-0.10506053721038733,-0.10506053721038733,-0.102350917294459,-0.09011721335479583
2013-04-26,-0.12498229216682788,-0.13014184294505726,-0.13014184294505726,-0.12781485394131376,-0.09853821041482891
2013-05-02,-0.14480326882087957,-0.14918881140787343,-0.14918881140787343,-0.14723343921959497,-0.09575733820964738
2013-05-03,-0.1291856159183441,-0.1333750195611888,-0.1333750195611888,-0.1315130633221665,-0.0823280620401391
2013-05-06,-0.1030291732215407,-0.1078993437411101,-0.1078993437411101,-0.10570868121945365,-0.06683229898701282
2013-05-07,-0.08826085913736403,-0.09386439849105488,-0.09386439849105488,-0.09132116323641559,-0.06415364185136108
2013-05-08,-0.08823609777524122,-0.09365262676659936,-0.09365262676659936,-0.09119483883157631,-0.058766933616886896
2013-05-09,-0.07823149439875499,-0.08430282725433946,-0.08430282725433946,-0.08152653829940437,-0.061334787750226494
2013-05-10,-0.0764256093661726,-0.08225407084886083,-0.08225407084886083,-0.07959090175989458,-0.05914828761754387
2013-05-13,-0.07228525660753082,-0.07858018828506186,-0.07858018828506186,-0.07568852101119239,-0.06504770995978737
2013-05-14,-0.08565960678508255,-0.0924822419848107,-0.0924822419848107,-0.08934467286055037,-0.08633055731171957
2013-05-15,-0.07425817515047961,-0.08102117103873041,-0.08102117103873041,-0.07790557458889236,-0.08002770956669247
